Year,model,Configuration,Transmission,mpg,Displacement
2019,Cadillac,ATS Coupe,Automatic,26.0,3600
2019,Cadillac,ATS Coupe,Automatic,31.0,2000
2019,Cadillac,ATS Coupe,Automatic,28.0,3600
2019,Cadillac,ATS Coupe,Automatic,29.0,2000
2019,Cadillac,ATS Coupe,Automatic,26.0,3600
2019,Cadillac,ATS Coupe,Automatic,31.0,2000
2019,Cadillac,ATS Coupe,Automatic,29.0,2000
2019,Cadillac,CTS,Automatic,30.0,2000
2019,Cadillac,CTS,Automatic,29.0,3600
2019,Cadillac,CTS,Automatic,28.0,2000
2019,Cadillac,CTS,Automatic,26.0,3600
2019,Cadillac,CTS,Automatic,30.0,2000
2019,Cadillac,CTS,Automatic,29.0,3600
2019,Cadillac,CTS,Automatic,28.0,2000
2019,Cadillac,CTS,Automatic,26.0,3600
2019,Cadillac,CTS,Automatic,30.0,2000
2019,Cadillac,CTS,Automatic,29.0,3600
2019,Cadillac,CTS,Automatic,28.0,2000
2019,Cadillac,CTS,Automatic,26.0,3600
2019,Cadillac,CTS,Automatic,30.0,2000
2019,Cadillac,CTS,Automatic,28.0,2000
2019,Cadillac,CTS,Automatic,24.0,3600
2019,Cadillac,CTS,Automatic,24.0,3600
2019,Cadillac,CTS-V Coupe,Manual,19.0,6200
2019,Cadillac,Escalade,Automatic,21.0,6200
2019,Cadillac,Escalade,Automatic,21.0,6200
2019,Cadillac,Escalade,Automatic,21.0,6200
2019,Cadillac,Escalade,Automatic,21.0,6200
2019,Cadillac,Escalade,Automatic,21.0,6200
2019,Cadillac,Escalade,Automatic,21.0,6200
2019,Cadillac,Escalade ESV,Automatic,21.0,6200
2019,Cadillac,Escalade ESV,Automatic,20.0,6200
2019,Cadillac,Escalade ESV,Automatic,21.0,6200
2019,Cadillac,Escalade ESV,Automatic,20.0,6200
2019,Cadillac,Escalade ESV,Automatic,21.0,6200
2019,Cadillac,Escalade ESV,Automatic,20.0,6200
2019,Cadillac,SRX,Automatic,24.0,3600
2019,Cadillac,SRX,Automatic,23.0,3600
2019,Cadillac,SRX,Automatic,24.0,3600
2019,Cadillac,SRX,Automatic,23.0,3600
2019,Cadillac,SRX,Automatic,24.0,3600
2019,Cadillac,SRX,Automatic,23.0,3600
2019,Cadillac,SRX,Automatic,24.0,3600
2019,Cadillac,XTS,Automatic,28.0,3600
2019,Cadillac,XTS,Automatic,28.0,3600
2019,Cadillac,XTS,Automatic,26.0,3600
2019,Cadillac,XTS,Automatic,28.0,3600
2019,Cadillac,XTS,Automatic,26.0,3600
2019,Cadillac,XTS,Automatic,28.0,3600
2019,Cadillac,XTS,Automatic,26.0,3600
2019,Cadillac,XTS,Automatic,24.0,3600
2019,Cadillac,XTS,Automatic,24.0,3600
2019,Chevrolet,Camaro,Manual,28.0,3600
2019,Chevrolet,Camaro,Automatic,30.0,3600
2019,Chevrolet,Camaro,Manual,28.0,3600
2019,Chevrolet,Camaro,Manual,28.0,3600
2019,Chevrolet,Camaro,Manual,28.0,3600
2019,Chevrolet,Camaro,Manual,28.0,3600
2019,Chevrolet,Camaro,Manual,24.0,6200
2019,Chevrolet,Camaro,Manual,24.0,6200
2019,Chevrolet,Camaro,Manual,24.0,6200
2019,Chevrolet,Camaro,Manual,24.0,6200
2019,Chevrolet,Camaro,Manual,19.0,7000
2019,Chevrolet,Camaro,Manual,19.0,6200
2019,Chevrolet,Camaro,Manual,19.0,6200
2019,Chevrolet,City Express,Automatic,26.0,2000
2019,Chevrolet,City Express,Automatic,26.0,2000
2019,Chevrolet,Colorado,Manual,26.0,2500
2019,Chevrolet,Colorado,Automatic,24.0,3600
2019,Chevrolet,Colorado,Automatic,24.0,3600
2019,Chevrolet,Colorado,Automatic,26.0,3600
2019,Chevrolet,Colorado,Automatic,27.0,2500
2019,Chevrolet,Colorado,Automatic,25.0,2500
2019,Chevrolet,Colorado,Automatic,27.0,2500
2019,Chevrolet,Colorado,Automatic,24.0,3600
2019,Chevrolet,Colorado,Automatic,24.0,3600
2019,Chevrolet,Colorado,Automatic,26.0,3600
2019,Chevrolet,Colorado,Automatic,27.0,2500
2019,Chevrolet,Colorado,Automatic,25.0,2500
2019,Chevrolet,Colorado,Manual,26.0,2500
2019,Chevrolet,Colorado,Automatic,24.0,3600
2019,Chevrolet,Colorado,Automatic,24.0,3600
2019,Chevrolet,Colorado,Automatic,26.0,3600
2019,Chevrolet,Colorado,Automatic,27.0,2500
2019,Chevrolet,Colorado,Automatic,25.0,2500
2019,Chevrolet,Colorado,Automatic,27.0,2500
2019,Chevrolet,Corvette,Manual,29.0,6200
2019,Chevrolet,Corvette,Manual,29.0,6200
2019,Chevrolet,Corvette,Manual,29.0,6200
2019,Chevrolet,Corvette,Manual,29.0,6200
2019,Chevrolet,Corvette,Manual,29.0,6200
2019,Chevrolet,Corvette,Manual,29.0,6200
2019,Chevrolet,Corvette,Manual,29.0,6200
2019,Chevrolet,Corvette,Manual,29.0,6200
2019,Chevrolet,Corvette,Manual,29.0,6200
2019,Chevrolet,Corvette,Manual,29.0,6200
2019,Chevrolet,Corvette,Manual,29.0,6200
2019,Chevrolet,Corvette,Manual,29.0,6200
2019,Chevrolet,Corvette,Manual,,6200
2019,Chevrolet,Corvette,Manual,,6200
2019,Chevrolet,Corvette,Manual,,6200
2019,Chevrolet,Corvette,Manual,,6200
2019,Chevrolet,Corvette,Manual,,6200
2019,Chevrolet,Corvette,Manual,,6200
2019,Chevrolet,Cruze,Automatic,38.0,1400
2019,Chevrolet,Cruze,Manual,38.0,1400
2019,Chevrolet,Cruze,Automatic,38.0,1400
2019,Chevrolet,Cruze,Automatic,46.0,2000
2019,Chevrolet,Cruze,Automatic,39.0,1400
2019,Chevrolet,Cruze,Manual,42.0,1400
2019,Chevrolet,Cruze,Automatic,35.0,1800
2019,Chevrolet,Cruze,Manual,36.0,1800
2019,Chevrolet,Cruze,Automatic,38.0,1400
2019,Chevrolet,Equinox,Automatic,32.0,2400
2019,Chevrolet,Equinox,Automatic,29.0,2400
2019,Chevrolet,Equinox,Automatic,29.0,2400
2019,Chevrolet,Equinox,Automatic,29.0,2400
2019,Chevrolet,Equinox,Automatic,32.0,2400
2019,Chevrolet,Equinox,Automatic,32.0,2400
2019,Chevrolet,Equinox,Automatic,32.0,2400
2019,Chevrolet,Equinox,Automatic,29.0,2400
2019,Chevrolet,Express,Automatic,17.0,4800
2019,Chevrolet,Express,Automatic,17.0,4800
2019,Chevrolet,Express,Automatic,,6600
2019,Chevrolet,Express,Automatic,17.0,4800
2019,Chevrolet,Express,Automatic,,6600
2019,Chevrolet,Express,Automatic,17.0,4800
2019,Chevrolet,Express,Automatic,17.0,4800
2019,Chevrolet,Express,Automatic,,6600
2019,Chevrolet,Express,Automatic,17.0,4800
2019,Chevrolet,Express,Automatic,,6600
2019,Chevrolet,Express Cargo,Automatic,,4800
