brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
Dodge,Caravan,2013,"$12,990.00 ",White,"RAM CARGO, Loaded, Roof Rack",Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"160,486",https://www.carproof.com/order?ref=kijiji&vin=null,"5298 Highway 7, Woodbridge, ON, L4L 1T3"
Chevrolet,Silverado 1500,2009,"$9,600.00 ",Black,na,Used,Pickup Truck,4 x 4,Automatic,na,"190,000",https://www.carproof.com/order?ref=kijiji&vin=null,"Toronto, ON M2J4A8"
Chevrolet,Malibu,2017,"$12,999.00 ",Brown,LT-LEATHER-CAMERA-BLUETOOTH-HEATED SEATS,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"122,000",https://www.carproof.com/order?ref=kijiji&vin=1G1ZE5ST2HF218763,"301 Weston Road, Toronto, ON, M6N3P1"
Lexus,RX,2017,"$44,800.00 ",Other,"350, NAVI, CAM, HEAT",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"67,913",https://www.carproof.com/order?ref=kijiji&vin=2T2BZMCA6HC056337,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Fiat,500,2012,"$9,800.00 ",Other,"500c CONVERTIBLE, AU",Used,Convertible,Front-wheel drive (FWD),Automatic,na,"37,671",https://www.carproof.com/order?ref=kijiji&vin=3C3CFFER8CT377533,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Honda,CR-V,2019,"$38,758.00 ",Black,EX-L,New,"SUV, Crossover",All-wheel drive (AWD),Other,Gasoline,na,na,"3400 Dufferin Street, Toronto, ON, M6A 2V1"
Chevrolet,Malibu,2017,"$19,999.00 ",Grey,LT-NAVIGATION-PANO ROOF-LEATHER-ONLY 44KM,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"44,000",https://www.carproof.com/order?ref=kijiji&vin=1G1ZE5ST3HF197275,"301 Weston Road, Toronto, ON, M6N3P1"
Mercedes-Benz,Other,2011,"$26,900.00 ",White,"114K ONLY !! 2500 144"", H-ROOF, CLEAN TITLE, 3.0L",Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,na,"114,465",https://www.carproof.com/order?ref=kijiji&vin=null,"1897 Wilson Avenue, North York, ON, M9M 1A2"
Honda,Civic,2019,"$28,018.00 ",Grey,Sport,New,Sedan,Front-wheel drive (FWD),Other,Gasoline,na,na,"3400 Dufferin Street, Toronto, ON, M6A 2V1"
Chevrolet,Corvette,2016,"$76,800.00 ",Other,"Z06 CONVERTIBLE, HEA",Used,Convertible,Rear-wheel drive (RWD),Automatic,na,"21,399",https://www.carproof.com/order?ref=kijiji&vin=1G1YN3D6XG5612880,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Toyota,Yaris,2007,"$5,300.00 ",Silver,na,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"154,868",https://www.carproof.com/order?ref=kijiji&vin=null,"Etobicoke, ON M8X 2P3"
BMW,3-Series,2014,"$19,500.00 ",White,na,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"64,000",https://www.carproof.com/order?ref=kijiji&vin=null,"North York, ON M2N 6Z6"
Dodge,Grand Caravan,2017,"$22,035.00 ",Black,Crew Plus,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"68,978",https://reports.carproof.com/en/main?id=/ozMPNe98YGQwIdpXcgphNlEG2pJYmMq&utm_ref=kijiji,"360 Rexdale Boulevard, Toronto, ON, M9W 1R7"
Honda,Odyssey,2012,"$21,999.00 ",Black,EX-L|WHEEL CHAIR LIFT|SUNROOF|3.5L FUEL EFFICIENT|,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,Gasoline,"53,562",https://www.carproof.com/order?ref=kijiji&vin=5FNRL5H64CB504464,"2701 Derry Rd. E, Mississauga, ON, L4T 1A2"
Infiniti,G35x,2006,"$4,495.00 ",Silver,"ONLY 126,000 KLM'S! - AWD!",Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"126,897",https://www.carproof.com/order?ref=kijiji&vin=JNKCV51F76M601162,"3120 Danforth Avenue, Scarborough, ON, M1L 1B1"
Ford,Other,2015,"$25,850.00 ",White,E-150 MEDIUM ROOF | DIVIDER | POWER WINDOWS & LOCK,Used,Other,Rear-wheel drive (RWD),Automatic,Gasoline,"84,146",https://www.carproof.com/order?ref=kijiji&vin=1FTNE1CG6FKA21874,"12030 Yonge Street, Richmond Hill, ON, L4E 3M2"
Toyota,Yaris,2008,"$2,999.00 ",Blue,LE,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"252,000",https://www.carproof.com/order?ref=kijiji&vin=null,"Scarborough, ON M1B 2W1"
Chevrolet,Silverado 1500,2009,"$9,600.00 ",Black,na,Used,Pickup Truck,4 x 4,Automatic,na,"190,000",https://www.carproof.com/order?ref=kijiji&vin=null,"Toronto, ON M2J4A8"
Chevrolet,Malibu,2017,"$12,999.00 ",Brown,LT-LEATHER-CAMERA-BLUETOOTH-HEATED SEATS,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"122,000",https://www.carproof.com/order?ref=kijiji&vin=1G1ZE5ST2HF218763,"301 Weston Road, Toronto, ON, M6N3P1"
Lexus,RX,2017,"$44,800.00 ",Other,"350, NAVI, CAM, HEAT",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"67,913",https://www.carproof.com/order?ref=kijiji&vin=2T2BZMCA6HC056337,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Fiat,500,2012,"$9,800.00 ",Other,"500c CONVERTIBLE, AU",Used,Convertible,Front-wheel drive (FWD),Automatic,na,"37,671",https://www.carproof.com/order?ref=kijiji&vin=3C3CFFER8CT377533,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Honda,CR-V,2019,"$38,758.00 ",Black,EX-L,New,"SUV, Crossover",All-wheel drive (AWD),Other,Gasoline,na,na,"3400 Dufferin Street, Toronto, ON, M6A 2V1"
Chevrolet,Malibu,2017,"$19,999.00 ",Grey,LT-NAVIGATION-PANO ROOF-LEATHER-ONLY 44KM,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"44,000",https://www.carproof.com/order?ref=kijiji&vin=1G1ZE5ST3HF197275,"301 Weston Road, Toronto, ON, M6N3P1"
Mercedes-Benz,Other,2011,"$26,900.00 ",White,"114K ONLY !! 2500 144"", H-ROOF, CLEAN TITLE, 3.0L",Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,na,"114,465",https://www.carproof.com/order?ref=kijiji&vin=null,"1897 Wilson Avenue, North York, ON, M9M 1A2"
Honda,Civic,2019,"$28,018.00 ",Grey,Sport,New,Sedan,Front-wheel drive (FWD),Other,Gasoline,na,na,"3400 Dufferin Street, Toronto, ON, M6A 2V1"
Chevrolet,Corvette,2016,"$76,800.00 ",Other,"Z06 CONVERTIBLE, HEA",Used,Convertible,Rear-wheel drive (RWD),Automatic,na,"21,399",https://www.carproof.com/order?ref=kijiji&vin=1G1YN3D6XG5612880,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Toyota,Yaris,2007,"$5,300.00 ",Silver,na,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"154,868",https://www.carproof.com/order?ref=kijiji&vin=null,"Etobicoke, ON M8X 2P3"
BMW,3-Series,2014,"$19,500.00 ",White,na,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"64,000",https://www.carproof.com/order?ref=kijiji&vin=null,"North York, ON M2N 6Z6"
Land Rover,LR4,2011,"$23,699.00 ",White,"HSE, 7 PASSENGER, NA",Used,"SUV, Crossover",4 x 4,Automatic,na,"115,734",https://www.carproof.com/order?ref=kijiji&vin=SALAK2D41BA593204,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Chevrolet,Cruze,2011,"$8,980.00 ",White,LTZ Turbo w/1SA Leather Sunroof Bluetooth,Used,Sedan,Front-wheel drive (FWD),Automatic,na,"174,999",https://www.carproof.com/order?ref=kijiji&vin=1G1PH5S92B7210845,"2555 Steeles Avenue West, North York, ON, M3J 2P1"
