brand,model,model_year,list_price,color,configration,condition,body_type,wheel_config,transmission,fuel_type,mileage,carfax_link,dealer_address
Infiniti,QX60,2014,"$20,999.00 ",Grey,NAVIGATION-360 DEGREE CAMERA-ONLY 104KM,Used,"SUV, Crossover",All-wheel drive (AWD),Other,Gasoline,"92,000",https://www.carproof.com/order?ref=kijiji&vin=5N1AL0MM0EC549482,"301 Weston Road, Toronto, ON, M6N3P1"
Audi,A4,2012,"$9,500.00 ",Black,"2.0T Premium,",Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"155,000",https://www.carproof.com/order?ref=kijiji&vin=WAUBFAFL7CN004405,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Chevrolet,Cobalt,2010,"$3,899.00 ",Black,LT w/1SB,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,Gasoline,"150,553",https://www.carproof.com/order?ref=kijiji&vin=1G1AE1F55A7202588,"Scarborough, ON M1B 5H2"
Ford,Focus,2015,"$12,500.00 ",Silver,SE,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"48,000",https://www.carproof.com/order?ref=kijiji&vin=1FADP3K24FL303129,"Toronto, ON M6H 4A9"
Hyundai,Sonata,2014,"$7,999.00 ",Blue,"GLS,2.4L",Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"165,000",https://www.carproof.com/order?ref=kijiji&vin=5NPEB4AC6EH817824,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Mazda,Mazda5,2015,"$9,999.00 ",Red,"GS,Touring ,WGN",Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"170,000",https://www.carproof.com/order?ref=kijiji&vin=JM1CW2CL2F0186419,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Subaru,Impreza,2008,"$4,900.00 ",Grey,2.5i,Used,Sedan,All-wheel drive (AWD),Manual,na,"189,000",https://www.carproof.com/order?ref=kijiji&vin=JF1GH61638G832051,"44 St Regis Crescent, Toronto, ON, M3J1Y5"
Porsche,Macan,2016,"$53,800.00 ",Brown,"S, NAVI, PANO, PREMI",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"55,542",https://www.carproof.com/order?ref=kijiji&vin=WP1AB2A5XGLB43811,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Mercedes-Benz,CLS-Class,2014,"$37,800.00 ",White,"CLS550 4MATIC, AMG S",Used,Sedan,All-wheel drive (AWD),Automatic,na,"77,449",https://www.carproof.com/order?ref=kijiji&vin=WDDLJ9BB0EA090996,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Mercedes-Benz,C-Class,2013,"$20,800.00 ",White,"C350 4MATIC, NAVI, P",Used,Sedan,All-wheel drive (AWD),Automatic,na,"78,537",https://www.carproof.com/order?ref=kijiji&vin=WDDGF8JB7DA840505,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Infiniti,QX4,2001,"$2,400.00 ",na,na,Used,"SUV, Crossover",4 x 4,Automatic,na,"171,000",https://www.carproof.com/order?ref=kijiji&vin=null,"Scarborough, ON M1M"
Mercedes-Benz,S-Class,2007,"$12,000.00 ",Grey,na,Used,Sedan,na,Automatic,na,"220,000",https://www.carproof.com/order?ref=kijiji&vin=null,"Oakville, ON L6H1J1"
Dodge,Grand Caravan,2016,"$19,995.00 ",Grey,SXT**NAV**DVD**BLUETOOTH**BACK UP CAM**,Used,"Minivan, Van",Front-wheel drive (FWD),Automatic,na,"88,351",https://reports.carproof.com/en/main?id= avOkHpGCwDu1s5MnGRRwPFOi0 iu5Ki&utm_ref=kijiji,"5280 Dixie Road, Mississauga, ON, L4W 2A7"
GMC,Savana,2015,"$18,990.00 ",White,EXT. Loaded,Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,na,"152,444",https://www.carproof.com/order?ref=kijiji&vin=null,"5298 Highway 7, Woodbridge, ON, L4L 1T3"
Audi,A8,2014,"$39,888.00 ",White,L TDI | LUXURY PKG | SPORT+ PKG | DRIVER ASSIST PK,Used,Sedan,All-wheel drive (AWD),Automatic,Diesel,"96,837",https://www.carproof.com/order?ref=kijiji&vin=WAURMAFD3EN001405,"12030 Yonge Street, Richmond Hill, ON, L4E 3M2"
Mercedes-Benz,GL-Class,2012,"$24,800.00 ",Black,"GL350 BlueTEC, 7 PAS",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"129,996",https://www.carproof.com/order?ref=kijiji&vin=4JGBF2FE6CA765259,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Honda,Civic,2009,"$5,500.00 ",Black,na,Used,Coupe (2 door),na,Manual,na,"187,000",https://www.carproof.com/order?ref=kijiji&vin=null,"72 Lakeview Ct, Orangeville, ON L9W 4P2, Canada"
Ford,Fiesta,2014,"$6,899.00 ",Silver,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"172,216",https://www.carproof.com/order?ref=kijiji&vin=null,"Scarborough, ON M1G 3T7"
Infiniti,QX60,2014,"$20,999.00 ",Grey,NAVIGATION-360 DEGREE CAMERA-ONLY 104KM,Used,"SUV, Crossover",All-wheel drive (AWD),Other,Gasoline,"92,000",https://www.carproof.com/order?ref=kijiji&vin=5N1AL0MM0EC549482,"301 Weston Road, Toronto, ON, M6N3P1"
Audi,A4,2012,"$9,500.00 ",Black,"2.0T Premium,",Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"155,000",https://www.carproof.com/order?ref=kijiji&vin=WAUBFAFL7CN004405,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Chevrolet,Cobalt,2010,"$3,899.00 ",Black,LT w/1SB,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,Gasoline,"150,553",https://www.carproof.com/order?ref=kijiji&vin=1G1AE1F55A7202588,"Scarborough, ON M1B 5H2"
Ford,Focus,2015,"$12,500.00 ",Silver,SE,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"48,000",https://www.carproof.com/order?ref=kijiji&vin=1FADP3K24FL303129,"Toronto, ON M6H 4A9"
Hyundai,Sonata,2014,"$7,999.00 ",Blue,"GLS,2.4L",Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"165,000",https://www.carproof.com/order?ref=kijiji&vin=5NPEB4AC6EH817824,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Mazda,Mazda5,2015,"$9,999.00 ",Red,"GS,Touring ,WGN",Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"170,000",https://www.carproof.com/order?ref=kijiji&vin=JM1CW2CL2F0186419,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Subaru,Impreza,2008,"$4,900.00 ",Grey,2.5i,Used,Sedan,All-wheel drive (AWD),Manual,na,"189,000",https://www.carproof.com/order?ref=kijiji&vin=JF1GH61638G832051,"44 St Regis Crescent, Toronto, ON, M3J1Y5"
Porsche,Macan,2016,"$53,800.00 ",Brown,"S, NAVI, PANO, PREMI",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"55,542",https://www.carproof.com/order?ref=kijiji&vin=WP1AB2A5XGLB43811,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Mercedes-Benz,CLS-Class,2014,"$37,800.00 ",White,"CLS550 4MATIC, AMG S",Used,Sedan,All-wheel drive (AWD),Automatic,na,"77,449",https://www.carproof.com/order?ref=kijiji&vin=WDDLJ9BB0EA090996,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Mercedes-Benz,C-Class,2013,"$20,800.00 ",White,"C350 4MATIC, NAVI, P",Used,Sedan,All-wheel drive (AWD),Automatic,na,"78,537",https://www.carproof.com/order?ref=kijiji&vin=WDDGF8JB7DA840505,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Acura,MDX,2007,"$6,800.00 ",na,na,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"230,000",https://www.carproof.com/order?ref=kijiji&vin=null,"North York, ON M3J 3K2"
GMC,Sierra 1500,2016,"$48,995.00 ",Other,na,Used,Pickup Truck,4 x 4,Automatic,Gasoline,"33,527",https://reports.carproof.com/en/main?id=grUwgR HupBfoED3sGoi5sqX4zwidhwW&utm_ref=kijiji,"42 Talbot Road East, Cayuga, ON, N0A 1E0"
Ford,Other,2013,"$18,995.00 ",Blue,"E 150 Extended Cargo Loaded Certified ONLY 68,000K",Used,"Minivan, Van",Rear-wheel drive (RWD),Automatic,Other,"68,000",https://www.carproof.com/order?ref=kijiji&vin=null,"1065 Martingrove Road, Etobicoke, ON, M9W 4W6"
Mercedes-Benz,C-Class,2015,"$23,999.00 ",Blue,C300 4MATIC-HUD-NAVI-PARK ASSIST-ONLY 54KM,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"54,000",https://www.carproof.com/order?ref=kijiji&vin=55SWF4KB6FU056368,"301 Weston Road, Toronto, ON, M6N3P1"
Nissan,Rogue,2016,"$16,850.00 ",Red,SV BACK UP CAMERA AWD,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"126,000",https://reports.carproof.com/en/main?id=J3lNEyoVxKNqhdqRE6AZnig7eqEOu0fy&utm_ref=kijiji,"1205 Finch Avenue West, Toronto, ON, M3J 2E8"
Honda,Civic,2009,"$5,500.00 ",Black,na,Used,Coupe (2 door),na,Manual,na,"187,000",https://www.carproof.com/order?ref=kijiji&vin=null,"72 Lakeview Ct, Orangeville, ON L9W 4P2, Canada"
Ford,Fiesta,2014,"$6,899.00 ",Silver,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"172,216",https://www.carproof.com/order?ref=kijiji&vin=null,"Scarborough, ON M1G 3T7"
Infiniti,QX60,2014,"$20,999.00 ",Grey,NAVIGATION-360 DEGREE CAMERA-ONLY 104KM,Used,"SUV, Crossover",All-wheel drive (AWD),Other,Gasoline,"92,000",https://www.carproof.com/order?ref=kijiji&vin=5N1AL0MM0EC549482,"301 Weston Road, Toronto, ON, M6N3P1"
Audi,A4,2012,"$9,500.00 ",Black,"2.0T Premium,",Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"155,000",https://www.carproof.com/order?ref=kijiji&vin=WAUBFAFL7CN004405,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Chevrolet,Cobalt,2010,"$3,899.00 ",Black,LT w/1SB,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,Gasoline,"150,553",https://www.carproof.com/order?ref=kijiji&vin=1G1AE1F55A7202588,"Scarborough, ON M1B 5H2"
Ford,Focus,2015,"$12,500.00 ",Silver,SE,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"48,000",https://www.carproof.com/order?ref=kijiji&vin=1FADP3K24FL303129,"Toronto, ON M6H 4A9"
Hyundai,Sonata,2014,"$7,999.00 ",Blue,"GLS,2.4L",Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"165,000",https://www.carproof.com/order?ref=kijiji&vin=5NPEB4AC6EH817824,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Mazda,Mazda5,2015,"$9,999.00 ",Red,"GS,Touring ,WGN",Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"170,000",https://www.carproof.com/order?ref=kijiji&vin=JM1CW2CL2F0186419,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Subaru,Impreza,2008,"$4,900.00 ",Grey,2.5i,Used,Sedan,All-wheel drive (AWD),Manual,na,"189,000",https://www.carproof.com/order?ref=kijiji&vin=JF1GH61638G832051,"44 St Regis Crescent, Toronto, ON, M3J1Y5"
Porsche,Macan,2016,"$53,800.00 ",Brown,"S, NAVI, PANO, PREMI",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"55,542",https://www.carproof.com/order?ref=kijiji&vin=WP1AB2A5XGLB43811,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Mercedes-Benz,CLS-Class,2014,"$37,800.00 ",White,"CLS550 4MATIC, AMG S",Used,Sedan,All-wheel drive (AWD),Automatic,na,"77,449",https://www.carproof.com/order?ref=kijiji&vin=WDDLJ9BB0EA090996,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Mercedes-Benz,C-Class,2013,"$20,800.00 ",White,"C350 4MATIC, NAVI, P",Used,Sedan,All-wheel drive (AWD),Automatic,na,"78,537",https://www.carproof.com/order?ref=kijiji&vin=WDDGF8JB7DA840505,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Audi,A5,2013,"$18,000.00 ",Other,S line Competition,Used,Coupe (2 door),All-wheel drive (AWD),Automatic,Gasoline,"119,853",https://www.carproof.com/order?ref=kijiji&vin=WAUWFBFR9DA020545,"Toronto, ON M2N 0H6"
Jeep,Grand Cherokee,2018,na,Red,Overland|Diesel|4x4|Navi|Sunroof|Backup Cam|Blueto,Used,"SUV, Crossover",4 x 4,Automatic,Diesel,112,https://www.carproof.com/order?ref=kijiji&vin=1C4RJFCM1JC405337,"12435 Highway 50, Bolton, ON, L7E 1M3"
Mercedes-Benz,GL-Class,2016,"$58,000.00 ",White,GL350 BlueTEC 4MATIC,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Diesel,"78,000",https://reports.carproof.com/en/main?id=SuC BM9OI nlgTkmH73NPQcLIb0FzXvm&utm_ref=kijiji,"7855 Keele Street, Unit 2, Vaughn, ON, L4K 1Y6"
Toyota,RAV4,2014,"$14,950.00 ",Grey,LE AWD,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"141,000",https://reports.carproof.com/en/main?id=1TQrbehlMzYedEqzD9 eY0RFqx92kEm7&utm_ref=kijiji,"1205 Finch Avenue West, Toronto, ON, M3J 2E8"
Ford,E-350,2013,"$17,850.00 ",White,XL | CAMERA | SENSORS | 12 PASSENGER,Used,Other,Rear-wheel drive (RWD),Automatic,na,"97,708",https://www.carproof.com/order?ref=kijiji&vin=1FBNE3BL3DDA58946,"12030 Yonge Street, Richmond Hill, ON, L4E 3M2"
Honda,Civic,2009,"$5,500.00 ",Black,na,Used,Coupe (2 door),na,Manual,na,"187,000",https://www.carproof.com/order?ref=kijiji&vin=null,"72 Lakeview Ct, Orangeville, ON L9W 4P2, Canada"
Ford,Fiesta,2014,"$6,899.00 ",Silver,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"172,216",https://www.carproof.com/order?ref=kijiji&vin=null,"Scarborough, ON M1G 3T7"
Infiniti,QX60,2014,"$20,999.00 ",Grey,NAVIGATION-360 DEGREE CAMERA-ONLY 104KM,Used,"SUV, Crossover",All-wheel drive (AWD),Other,Gasoline,"92,000",https://www.carproof.com/order?ref=kijiji&vin=5N1AL0MM0EC549482,"301 Weston Road, Toronto, ON, M6N3P1"
Audi,A4,2012,"$9,500.00 ",Black,"2.0T Premium,",Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"155,000",https://www.carproof.com/order?ref=kijiji&vin=WAUBFAFL7CN004405,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Chevrolet,Cobalt,2010,"$3,899.00 ",Black,LT w/1SB,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,Gasoline,"150,553",https://www.carproof.com/order?ref=kijiji&vin=1G1AE1F55A7202588,"Scarborough, ON M1B 5H2"
Ford,Focus,2015,"$12,500.00 ",Silver,SE,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"48,000",https://www.carproof.com/order?ref=kijiji&vin=1FADP3K24FL303129,"Toronto, ON M6H 4A9"
Hyundai,Sonata,2014,"$7,999.00 ",Blue,"GLS,2.4L",Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"165,000",https://www.carproof.com/order?ref=kijiji&vin=5NPEB4AC6EH817824,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Mazda,Mazda5,2015,"$9,999.00 ",Red,"GS,Touring ,WGN",Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"170,000",https://www.carproof.com/order?ref=kijiji&vin=JM1CW2CL2F0186419,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Subaru,Impreza,2008,"$4,900.00 ",Grey,2.5i,Used,Sedan,All-wheel drive (AWD),Manual,na,"189,000",https://www.carproof.com/order?ref=kijiji&vin=JF1GH61638G832051,"44 St Regis Crescent, Toronto, ON, M3J1Y5"
Porsche,Macan,2016,"$53,800.00 ",Brown,"S, NAVI, PANO, PREMI",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"55,542",https://www.carproof.com/order?ref=kijiji&vin=WP1AB2A5XGLB43811,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Mercedes-Benz,CLS-Class,2014,"$37,800.00 ",White,"CLS550 4MATIC, AMG S",Used,Sedan,All-wheel drive (AWD),Automatic,na,"77,449",https://www.carproof.com/order?ref=kijiji&vin=WDDLJ9BB0EA090996,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Kia,Sportage,2015,"$17,450.00 ",White,EX LUXURY NAVI LEATHER PAN SUNROOF BACK UP CAM AWD,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"118,000",https://reports.carproof.com/en/main?id=e7 q8I8cjAqxm bbzTbZZ4Hcu2Dk9tCP&utm_ref=kijiji,"1205 Finch Avenue West, Toronto, ON, M3J 2E8"
Nissan,Altima,2005,"$2,999.00 ",Silver,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"180,000",https://www.carproof.com/order?ref=kijiji&vin=1N4BL11E85C319934,"56 Martin Ross Ave., North York, ON, M3J 2L4"
Honda,Civic,2009,"$5,500.00 ",Black,na,Used,Coupe (2 door),na,Manual,na,"187,000",https://www.carproof.com/order?ref=kijiji&vin=null,"72 Lakeview Ct, Orangeville, ON L9W 4P2, Canada"
Ford,Fiesta,2014,"$6,899.00 ",Silver,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"172,216",https://www.carproof.com/order?ref=kijiji&vin=null,"Scarborough, ON M1G 3T7"
Infiniti,QX60,2014,"$20,999.00 ",Grey,NAVIGATION-360 DEGREE CAMERA-ONLY 104KM,Used,"SUV, Crossover",All-wheel drive (AWD),Other,Gasoline,"92,000",https://www.carproof.com/order?ref=kijiji&vin=5N1AL0MM0EC549482,"301 Weston Road, Toronto, ON, M6N3P1"
Audi,A4,2012,"$9,500.00 ",Black,"2.0T Premium,",Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"155,000",https://www.carproof.com/order?ref=kijiji&vin=WAUBFAFL7CN004405,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Chevrolet,Cobalt,2010,"$3,899.00 ",Black,LT w/1SB,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,Gasoline,"150,553",https://www.carproof.com/order?ref=kijiji&vin=1G1AE1F55A7202588,"Scarborough, ON M1B 5H2"
Ford,Focus,2015,"$12,500.00 ",Silver,SE,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"48,000",https://www.carproof.com/order?ref=kijiji&vin=1FADP3K24FL303129,"Toronto, ON M6H 4A9"
Hyundai,Sonata,2014,"$7,999.00 ",Blue,"GLS,2.4L",Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"165,000",https://www.carproof.com/order?ref=kijiji&vin=5NPEB4AC6EH817824,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Mazda,Mazda5,2015,"$9,999.00 ",Red,"GS,Touring ,WGN",Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"170,000",https://www.carproof.com/order?ref=kijiji&vin=JM1CW2CL2F0186419,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Subaru,Impreza,2008,"$4,900.00 ",Grey,2.5i,Used,Sedan,All-wheel drive (AWD),Manual,na,"189,000",https://www.carproof.com/order?ref=kijiji&vin=JF1GH61638G832051,"44 St Regis Crescent, Toronto, ON, M3J1Y5"
Porsche,Macan,2016,"$53,800.00 ",Brown,"S, NAVI, PANO, PREMI",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"55,542",https://www.carproof.com/order?ref=kijiji&vin=WP1AB2A5XGLB43811,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Mercedes-Benz,CLS-Class,2014,"$37,800.00 ",White,"CLS550 4MATIC, AMG S",Used,Sedan,All-wheel drive (AWD),Automatic,na,"77,449",https://www.carproof.com/order?ref=kijiji&vin=WDDLJ9BB0EA090996,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Maserati,Other,2015,"$56,888.00 ",Black,S Q4|NAVI|BACK-UP|CARBON FIBER,Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"33,000",https://www.carproof.com/order?ref=kijiji&vin=ZAM57RTA1F1151177,"150 Deerhide Crescent, North York, ON, M9M 2Y6"
Ford,Expedition,2007,"$10,999.00 ",Black,Limited,Used,"SUV, Crossover",4 x 4,Automatic,Gasoline,"251,000",https://reports.carproof.com/en/main?id=ryq7Aipm9Ai9g3BXbmhRcL WziHevw/t&utm_ref=kijiji,"11 MILLWICK DRIVE, NORTH YORK, ON, M9L 1Y4"
Mercedes-Benz,GL-Class,2016,"$58,000.00 ",White,GL350 BlueTEC 4MATIC,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Diesel,"78,000",https://reports.carproof.com/en/main?id=SuC BM9OI nlgTkmH73NPQcLIb0FzXvm&utm_ref=kijiji,"7855 Keele Street, Unit 2, Vaughn, ON, L4K 1Y6"
Volkswagen,Passat,2015,"$16,990.00 ",Beige,1.8 TSI HIGHLINE AUT0 NAVI LEATHER SUNROOF 73K,Used,Sedan,Front-wheel drive (FWD),Automatic,na,"73,938",https://reports.carproof.com/en/main?id=etFQIu7AuOPoYOc5MKlMKczEiX1RrXfR&utm_ref=kijiji,"1235 Finch Ave. W., Toronto, ON, M3J 2G4"
Honda,Civic,2009,"$5,500.00 ",Black,na,Used,Coupe (2 door),na,Manual,na,"187,000",https://www.carproof.com/order?ref=kijiji&vin=null,"72 Lakeview Ct, Orangeville, ON L9W 4P2, Canada"
Ford,Fiesta,2014,"$6,899.00 ",Silver,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"172,216",https://www.carproof.com/order?ref=kijiji&vin=null,"Scarborough, ON M1G 3T7"
Infiniti,QX60,2014,"$20,999.00 ",Grey,NAVIGATION-360 DEGREE CAMERA-ONLY 104KM,Used,"SUV, Crossover",All-wheel drive (AWD),Other,Gasoline,"92,000",https://www.carproof.com/order?ref=kijiji&vin=5N1AL0MM0EC549482,"301 Weston Road, Toronto, ON, M6N3P1"
Audi,A4,2012,"$9,500.00 ",Black,"2.0T Premium,",Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"155,000",https://www.carproof.com/order?ref=kijiji&vin=WAUBFAFL7CN004405,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Chevrolet,Cobalt,2010,"$3,899.00 ",Black,LT w/1SB,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,Gasoline,"150,553",https://www.carproof.com/order?ref=kijiji&vin=1G1AE1F55A7202588,"Scarborough, ON M1B 5H2"
Ford,Focus,2015,"$12,500.00 ",Silver,SE,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"48,000",https://www.carproof.com/order?ref=kijiji&vin=1FADP3K24FL303129,"Toronto, ON M6H 4A9"
Hyundai,Sonata,2014,"$7,999.00 ",Blue,"GLS,2.4L",Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"165,000",https://www.carproof.com/order?ref=kijiji&vin=5NPEB4AC6EH817824,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Mazda,Mazda5,2015,"$9,999.00 ",Red,"GS,Touring ,WGN",Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"170,000",https://www.carproof.com/order?ref=kijiji&vin=JM1CW2CL2F0186419,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Subaru,Impreza,2008,"$4,900.00 ",Grey,2.5i,Used,Sedan,All-wheel drive (AWD),Manual,na,"189,000",https://www.carproof.com/order?ref=kijiji&vin=JF1GH61638G832051,"44 St Regis Crescent, Toronto, ON, M3J1Y5"
Porsche,Macan,2016,"$53,800.00 ",Brown,"S, NAVI, PANO, PREMI",Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"55,542",https://www.carproof.com/order?ref=kijiji&vin=WP1AB2A5XGLB43811,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Mercedes-Benz,CLS-Class,2014,"$37,800.00 ",White,"CLS550 4MATIC, AMG S",Used,Sedan,All-wheel drive (AWD),Automatic,na,"77,449",https://www.carproof.com/order?ref=kijiji&vin=WDDLJ9BB0EA090996,"60 Martin Ross Avenue, Toronto, ON, M3J 2L4"
Ford,Taurus,2017,"$24,495.00 ",Other,na,Used,Wagon,All-wheel drive (AWD),Automatic,Gasoline,"83,240",https://www.carproof.com/order?ref=kijiji&vin=1FAHP2J83HG121855,"42 Talbot Road East, Cayuga, ON, N0A 1E0"
Ford,F-150,2018,"$38,398.00 ",Blue,XLT,New,Pickup Truck,4 x 4,Automatic,Other,na,na,"4700 Sheppard Avenue East, Toronto, ON, M1S 3V6"
Kia,Sportage,2015,"$17,450.00 ",White,EX LUXURY NAVI LEATHER PAN SUNROOF BACK UP CAM AWD,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"118,000",https://reports.carproof.com/en/main?id=e7 q8I8cjAqxm bbzTbZZ4Hcu2Dk9tCP&utm_ref=kijiji,"1205 Finch Avenue West, Toronto, ON, M3J 2E8"
Audi,Q3,2016,"$28,890.00 ",Black,2.0T Progressiv quattro w/ Power Tailgate|Pano,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,Gasoline,"35,950",https://reports.carproof.com/en/main?id=/lsf/Kdy7HhRa61hAD6wt3phh9he Jji&utm_ref=kijiji,"175 Yorkland Blvd, Toronto, ON, M2J4R2"
Nissan,Rogue,2016,"$23,998.00 ",Blue,SL Premium - 360 CAMERA|NAVI|SUNROOF|HEATED SEATS|,Used,"SUV, Crossover",All-wheel drive (AWD),Automatic,na,"40,373",https://www.carproof.com/order?ref=kijiji&vin=5N1AT2MV9GC735335,"4611 Highway 7, Markham, ON, L3R 1M6"
Ford,Fiesta,2014,"$6,899.00 ",Silver,SE,Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"172,216",https://www.carproof.com/order?ref=kijiji&vin=null,"Scarborough, ON M1G 3T7"
Infiniti,QX60,2014,"$20,999.00 ",Grey,NAVIGATION-360 DEGREE CAMERA-ONLY 104KM,Used,"SUV, Crossover",All-wheel drive (AWD),Other,Gasoline,"92,000",https://www.carproof.com/order?ref=kijiji&vin=5N1AL0MM0EC549482,"301 Weston Road, Toronto, ON, M6N3P1"
Audi,A4,2012,"$9,500.00 ",Black,"2.0T Premium,",Used,Sedan,All-wheel drive (AWD),Automatic,Gasoline,"155,000",https://www.carproof.com/order?ref=kijiji&vin=WAUBFAFL7CN004405,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
Chevrolet,Cobalt,2010,"$3,899.00 ",Black,LT w/1SB,Used,Coupe (2 door),Front-wheel drive (FWD),Manual,Gasoline,"150,553",https://www.carproof.com/order?ref=kijiji&vin=1G1AE1F55A7202588,"Scarborough, ON M1B 5H2"
Ford,Focus,2015,"$12,500.00 ",Silver,SE,Used,Hatchback,Front-wheel drive (FWD),Automatic,Gasoline,"48,000",https://www.carproof.com/order?ref=kijiji&vin=1FADP3K24FL303129,"Toronto, ON M6H 4A9"
Hyundai,Sonata,2014,"$7,999.00 ",Blue,"GLS,2.4L",Used,Sedan,Front-wheel drive (FWD),Automatic,Gasoline,"165,000",https://www.carproof.com/order?ref=kijiji&vin=5NPEB4AC6EH817824,"291 Old Kingston Rd, Scarborough, ON, M1C 1B5"
