make,mileage,model,price,vin,year
Honda,"7,682 Miles",Accord,"$25,998",1HGCV1F35JA051268,2018
Ford,"31,849 Miles",Mustang,"$26,998",1FA6P8CF0G5289663,2016
Lexus,"59,421 Miles",ES 350,"$20,998",JTHBK1GG7E2123008,2014
Honda,"42,401 Miles",Crosstour,"$22,998",5J6TF2H52FL003264,2015
Chevrolet,"25,265 Miles",Traverse,"$23,599",1GNKRGKDXHJ132669,2017
Buick,"36,188 Miles",Enclave,"$21,998",5GAKRAKD6FJ167584,2015
Cadillac,"31,213 Miles",SRX,"$21,998",3GYFNAE38FS617386,2015
Ford,"33,105 Miles",Escape,"$16,998",1FMCU9GX5GUB78560,2016
Chevrolet,"28,116 Miles",Impala,"$23,998",1G1145S3XGU123460,2016
Chevrolet,"35,979 Miles",Silverado 1500,"$25,998",1GCVKREHXGZ205429,2016
Ford,"23,547 Miles",Escape,"$15,998",1FMCU0G76GUA93478,2016
Lincoln,"34,992 Miles",MKZ,"$19,998",3LN6L2J92GR614662,2016
Chrysler,"29,644 Miles",300,"$18,998",2C3CCAAGXFH780569,2015
Toyota,"108,487 Miles",Highlander,"$13,998",5TDBK3EH1AS040640,2010
Nissan,"37,227 Miles",Rogue,"$22,998",5N1AT2MV5GC784094,2016
Nissan,"49,865 Miles",Sentra,"$11,998",3N1AB7AP9EY220546,2014
Ford,"79,889 Miles",Focus,"$11,599",1FAHP3N21CL144868,2012
MINI,"42,509 Miles",Cooper,"$14,998",WMWXM5C58F3B34799,2015
GMC,"11,703 Miles",Acadia,"$26,998",1GKKNLLA3JZ213073,2018
Nissan,"32,648 Miles",Murano,"$19,998",5N1AZ2MH2FN275544,2015
Honda,"47,634 Miles",Civic,"$12,998",19XFB2F53EE025718,2014
Nissan,"89,267 Miles",Pathfinder,"$19,998",5N1AR2MM8EC626741,2014
Ford,"42,718 Miles",Mustang,"$22,998",1ZVBP8FF1E5219149,2014
Nissan,"52,505 Miles",Murano,"$18,998",5N1AZ2MG0HN119660,2017
Toyota,"11,012 Miles",Camry,"$17,998",4T1BF1FKXGU134454,2016
Volkswagen,"56,124 Miles",Beetle,"$10,998",3VWJP7AT4CM634220,2012
Ram,"57,402 Miles",Pickup 1500,"$33,998",1C6RR7PT9GS157912,2016
Mitsubishi,"28,902 Miles",Outlander,"$20,599",JA4JZ4AX3FZ004314,2015
Jeep,"13,140 Miles",Cherokee,"$22,599",1C4PJMCS6GW142277,2016
Lincoln,"44,668 Miles",MKZ,"$18,998",3LN6L2J92GR608859,2016
Ram,"16,715 Miles",Pickup 1500,"$28,998",1C6RR7LG0HS530149,2017
GMC,"38,714 Miles",Acadia,"$23,599",1GKKVPKDXFJ268855,2015
Kia,"32,291 Miles",Sorento,"$16,599",5XYKTDA60FG652467,2015
Nissan,"39,011 Miles",Altima,"$16,998",1N4AL3APXFC276143,2015
Acura,"27,319 Miles",TLX,"$20,998",19UUB1F57FA007584,2015
Volkswagen,"40,200 Miles",Golf GTI,"$16,998",WVWHD7AJXEW004925,2014
Volvo,"81,494 Miles",C70,"$13,998",YV1672MC3CJ126108,2012
Chevrolet,"11,626 Miles",Equinox,"$17,998",2GNALBEK8H1514736,2017
Nissan,"85,818 Miles",Frontier,"$20,998",1N6AD0EV6CC435747,2012
Chrysler,"42,050 Miles",200,"$13,998",1C3CCCABXFN528585,2015
Jeep,"68,408 Miles",Wrangler,"$17,998",1J4FA24168L516163,2008
Nissan,"33,834 Miles",Altima,"$14,998",1N4AL3AP9FC580838,2015
Toyota,"98,604 Miles",Corolla,"$9,998",2T1BU4EE3BC550021,2011
Chevrolet,"38,085 Miles",Malibu,"$13,599",1G11D5SR3DF352132,2013
Ford,"29,743 Miles",Fusion,"$14,998",3FA6P0H71GR277201,2016
Scion,"108,190 Miles",tC,"$7,998",JTKDE3B72A0311891,2010
Hyundai,"65,894 Miles",Sonata,"$10,998",5NPEB4AC9BH242016,2011
BMW,"56,935 Miles",X5,"$28,998",5UXZV8C51D0C15943,2013
Buick,"37,200 Miles",Verano,"$14,998",1G4PP5SK7F4190656,2015
Chevrolet,"35,968 Miles",Equinox,"$17,599",2GNALCEK2G6234916,2016
Chevrolet,"34,958 Miles",Spark,"$9,998",KL8CA6S97DC509072,2013
Honda,"23,100 Miles",Civic,"$14,998",19XFB2F50FE101736,2015
Ford,"27,039 Miles",F-150,"$37,998",1FTFW1ET6EKE68912,2014
GMC,"124,576 Miles",Sierra 1500,"$22,998",3GTU2UEC9FG122513,2015
Nissan,"42,313 Miles",Murano,"$20,998",5N1AZ2MH4FN283497,2015
Infiniti,"38,199 Miles",QX60,"$29,998",5N1AL0MM2FC522656,2015
Chevrolet,"17,838 Miles",Camaro,"$24,998",2G1FK1EJ8E9232329,2014
Toyota,"77,312 Miles",Corolla,"$10,599",2T1BU4EE0AC250919,2010
Buick,"42,011 Miles",Encore,"$15,998",KL4CJASB8EB737256,2014
Kia,"32,860 Miles",Sorento,"$16,998",5XYKTCA60FG627465,2015
Lincoln,"26,635 Miles",MKX,"$26,998",2LMTJ6KR9GBL39664,2016
Toyota,"114,715 Miles",Highlander,"$19,998",5TDDK3EH8DS201580,2013
Toyota,"23,505 Miles",Highlander,"$27,998",5TDJKRFH7FS205367,2015
Honda,"20,307 Miles",Accord,"$18,998",1HGCR2F52FA223288,2015
Nissan,"21,146 Miles",Rogue,"$17,599",KNMAT2MV8GP606001,2016
Toyota,"31,533 Miles",RAV4,"$18,998",JTMBFREV2FD121971,2015
Jeep,"76,607 Miles",Cherokee,"$14,998",1C4PJLCB4EW132970,2014
Ford,"32,087 Miles",Escape,"$14,998",1FMCU0G71GUB55255,2016
Jeep,"22,856 Miles",Cherokee,"$21,998",1C4PJMDB4FW757780,2015
Acura,"31,714 Miles",RDX,"$23,998",5J8TB4H39FL019121,2015
Jeep,"8,404 Miles",Wrangler Unlimited,"$33,998",1C4BJWEG1JL936580,2018
Toyota,"21,056 Miles",Camry,"$19,998",4T1BF1FK1GU548576,2016
Hyundai,"122,329 Miles",Santa Fe,"$9,599",5NMSH73E39H230033,2009
Jeep,"28,606 Miles",Grand Cherokee,"$26,998",1C4RJFBG2FC899081,2015
Ford,"30,778 Miles",Escape,"$17,998",1FMCU9GX1GUA34391,2016
Lincoln,"35,124 Miles",MKZ,"$20,998",3LN6L2G91GR614921,2016
MINI,"47,607 Miles",Cooper,"$12,998",WMWXM5C50F3A97215,2015
Ford,"12,605 Miles",Explorer,"$39,998",1FM5K8HTXGGB25999,2016
GMC,"27,057 Miles",Acadia,"$31,998",1GKKVTKD7FJ173999,2015
Jeep,"111,801 Miles",Patriot,"$8,599",1J4FT28B09D205403,2009
Mercedes-Benz,"42,931 Miles",CLA,"$21,998",WDDSJ4EB6EN071081,2014
Chevrolet,"43,153 Miles",Colorado,"$27,998",1GCGTDE30G1243473,2016
Hyundai,"31,546 Miles",Genesis Coupe,"$17,998",KMHHT6KJ3FU129429,2015
Lincoln,"23,621 Miles",MKC,"$23,998",5LMCJ3C93GUJ18321,2016
Honda,"26,709 Miles",Civic,"$15,998",19XFB4F28FE000056,2015
Honda,"22,442 Miles",Accord,"$18,599",1HGCT1B85FA013215,2015
GMC,"37,503 Miles",Acadia,"$28,998",1GKKRTKD6GJ244910,2016
Ford,"78,423 Miles",Edge,"$15,998",2FMDK4KC9DBC55210,2013
Ford,"17,798 Miles",F-150,"$31,998",1FTEW1E54JFC30069,2018
Kia,"105,493 Miles",Sorento,"$11,998",5XYKTCA68CG205956,2012
Chevrolet,"15,658 Miles",Cruze,"$15,998",1G1BE5SM7G7257044,2016
Nissan,"35,561 Miles",Rogue,"$20,998",KNMAT2MV2GP690347,2016
Jeep,"11,901 Miles",Renegade,"$19,998",ZACCJBBB8HPF49908,2017
Kia,"37,795 Miles",Sorento,"$15,998",5XYPG4A3XGG033442,2016
Cadillac,"37,959 Miles",XTS,"$25,998",2G61M5S36H9199458,2017
Toyota,"16,269 Miles",Camry,"$18,998",4T1BF1FK0FU099468,2015
Lincoln,"33,242 Miles",MKZ,"$21,599",3LN6L2J96GR616253,2016
Mitsubishi,"52,260 Miles",Lancer Sportback,"$12,599",JA32X8HW9DU014889,2013
Nissan,"31,773 Miles",Altima,"$16,998",1N4AL3AP3GC182915,2016
Chrysler,"68,680 Miles",300,"$19,998",2C3CCAJT4DH690442,2013
Chevrolet,"25,594 Miles",Volt,"$20,998",1G1RC6S50GU137929,2016
Hyundai,"83,941 Miles",Sonata,"$10,998",5NPEC4AB6BH316013,2011
Toyota,"51,378 Miles",Tacoma,"$27,998",5TFAZ5CN0GX004162,2016
Nissan,"38,780 Miles",Pathfinder,"$18,998",5N1AR2MM3FC632335,2015
Honda,"32,736 Miles",Civic,"$21,998",2HGFC1E53HH700874,2017
Toyota,"40,901 Miles",RAV4,"$17,998",JTMBFREV1FJ047282,2015
Toyota,"30,479 Miles",Corolla,"$13,998",2T1BURHE6FC397410,2015
Volkswagen,"85,922 Miles",Beetle,"$10,998",3VWJP7AT9CM636870,2012
Hyundai,"25,264 Miles",Ioniq Hybrid,"$20,998",KMHC75LC1JU068602,2018
Infiniti,"39,716 Miles",QX60,"$29,998",5N1DL0MM6HC544305,2017
Toyota,"16,514 Miles",Tacoma,"$22,599",5TFTX4CN1FX068055,2015
Hyundai,"42,752 Miles",Santa Fe Sport,"$17,998",5NMZTDLB2HH022760,2017
Jeep,"10,948 Miles",Compass,"$17,998",1C4NJDEB1GD545065,2016
Nissan,"75,946 Miles",Pathfinder,"$17,998",5N1AR2MN1EC700218,2014
Dodge,"45,935 Miles",Journey,"$15,998",3C4PDDBG8HT592606,2017
Lincoln,"33,350 Miles",MKZ,"$21,998",3LN6L2J99GR620927,2016
Hyundai,"34,593 Miles",Azera,"$18,998",KMHFH4JG7EA382949,2014
Chevrolet,"18,945 Miles",Cruze,"$12,998",1G1PC5SB6F7214758,2015
Ford,"16,596 Miles",Edge,"$26,998",2FMPK4K97JBB20580,2018
Chevrolet,"57,719 Miles",Silverado 2500HD,"$36,998",1GC1KWEG5FF652593,2015
Nissan,"26,002 Miles",Altima,"$14,998",1N4AL3AP0FN401297,2015
Chevrolet,"14,709 Miles",Equinox,"$17,998",2GNALBEK2F6395260,2015
Chrysler,"20,734 Miles",200 Convertible,"$17,998",1C3BCBFG6EN162651,2014
Toyota,"12,929 Miles",Camry,"$20,998",4T1B11HK8JU564101,2018
Hyundai,"5,245 Miles",Sonata,"$18,998",5NPE34AF6GH419264,2016
Chrysler,"23,671 Miles",200,"$15,998",1C3CCCBB1GN113753,2016
Ford,"13,440 Miles",EcoSport,"$21,998",MAJ6P1CL7JC187292,2018
Buick,"4,068 Miles",Encore,"$16,599",KL4CJASB0FB246889,2015
Acura,"75,188 Miles",TL,"$13,998",19UUA8F28BA008755,2011
Ford,"6,313 Miles",Fusion,"$19,998",3FA6P0T92GR192344,2016
Hyundai,"20,198 Miles",Genesis,"$24,998",KMHGN4JE2GU121323,2016
Audi,"52,352 Miles",A6,"$22,998",WAUGFAFC2EN046716,2014
Nissan,"24,129 Miles",Murano,"$21,998",5N1AZ2MH8FN282577,2015
Ford,"52,600 Miles",Explorer,"$22,998",1FM5K8F80FGB15351,2015
Chrysler,"81,439 Miles",200,"$9,998",1C3CCBBG0CN250408,2012
Jeep,"19,035 Miles",Renegade,"$16,998",ZACCJABT6GPE27789,2016
Jeep,"79,995 Miles",Patriot,"$12,599",1C4NJRFB4CD564215,2012
Nissan,"31,478 Miles",Altima,"$14,599",1N4AL3APXFN910314,2015
Ford,"17,013 Miles",Fiesta,"$11,998",3FADP4AJXHM117059,2017
Kia,"19,538 Miles",Optima,"$14,998",5XXGT4L37GG028924,2016
Ford,"82,511 Miles",Mustang,"$13,599",1ZVBP8AM8C5287855,2012
Dodge,"1,117 Miles",Challenger,"$38,998",2C3CDZFJ5GH263696,2016
Nissan,"17,916 Miles",Pathfinder,"$21,998",5N1AR2MM5GC626294,2016
Chevrolet,"69,880 Miles",Camaro,"$14,998",2G1FB1E37E9181066,2014
GMC,"105,728 Miles",Terrain,"$14,599",2GKFLXE38D6124676,2013
Honda,"43,249 Miles",CR-V,"$16,998",JHLRE4H76BC021733,2011
Subaru,"33,940 Miles",Forester,"$22,998",JF2SJGDC7GH419866,2016
Honda,"71,238 Miles",CR-V,"$13,998",5J6RE4H57BL056223,2011
Volkswagen,"69,543 Miles",Routan,"$12,599",2V4RW3D15AR209368,2010
Honda,"4,616 Miles",Accord,"$26,998",1HGCV1F33JA150297,2018
Ford,"45,822 Miles",Edge,"$25,998",2FMTK4AP6FBB71719,2015
Mitsubishi,"48,685 Miles",Mirage G4,"$9,998",ML32F3FJ7HHF15430,2017
Ram,"42,835 Miles",Pickup 1500,"$24,998",1C6RR7KG4GS162574,2016
Toyota,"26,364 Miles",Camry,"$16,998",4T1BF1FK4FU024935,2015
Acura,"119,829 Miles",TL,"$13,998",19UUA9F75CA008330,2012
Toyota,"29,213 Miles",Corolla,"$15,998",2T1BURHE4GC530280,2016
Lexus,"22,285 Miles",ES 350,"$25,998",JTHBK1GG9G2214171,2016
Subaru,"44,915 Miles",Crosstrek,"$18,998",JF2GPBCC0EH220731,2014
Hyundai,"78,402 Miles",Sonata,"$10,998",5NPEB4AC7CH313229,2012
Chevrolet,"34,797 Miles",Cruze,"$12,998",1G1PC5SB3F7207900,2015
Toyota,"16,614 Miles",Sienna,"$34,998",5TDDZ3DC9HS181315,2017
Chevrolet,"29,273 Miles",Equinox,"$15,998",2GNALAEK8F6439580,2015
Honda,"29,862 Miles",CR-V,"$24,998",5J6RM4H9XFL064389,2015
Nissan,"59,803 Miles",Titan,"$23,998",1N6AA0EC6EN505973,2014
Ford,"48,581 Miles",Shelby GT500,"$40,998",1ZVBP8KZ1D5244678,2013
Nissan,"18,965 Miles",Murano,"$25,998",5N1AZ2MH9FN218158,2015
Toyota,"42,577 Miles",RAV4,"$17,998",JTMBFREV0FJ048407,2015
Chevrolet,"11,148 Miles",Equinox,"$17,998",2GNALBEK1H1563180,2017
Lincoln,"11,601 Miles",MKC,"$21,998",5LMCJ1D90GUJ20983,2016
Jeep,"59,823 Miles",Cherokee,"$15,998",1C4PJLCB9GW113799,2016
Ford,"26,092 Miles",Escape,"$19,998",1FMCU9JX7GUB28476,2016
Chevrolet,"22,054 Miles",Sonic,"$11,599",1G1JC6SH9D4251155,2013
Nissan,"28,050 Miles",Maxima,"$23,998",1N4AA6AP1JC360772,2018
Toyota,"35,688 Miles",Corolla,"$15,998",2T1BURHE4FC243195,2015
Mercedes-Benz,"56,544 Miles",C-Class,"$17,998",WDDGF4HB9DR294175,2013
Lincoln,"32,782 Miles",MKC,"$20,998",5LMCJ1C90GUJ14893,2016
Chrysler,"62,567 Miles",200,"$10,599",1C3CCBBB0DN500851,2013
Ford,"25,437 Miles",Explorer,"$25,998",1FM5K8D82FGA60078,2015
Chrysler,"35,671 Miles",300,"$17,599",2C3CCAAG6FH769312,2015
Toyota,"72,249 Miles",Prius v,"$18,998",JTDZN3EU5GJ041556,2016
Subaru,"51,218 Miles",Forester,"$18,998",JF2SJGDC7FH435533,2015
Ford,"34,085 Miles",Escape,"$15,998",1FMCU9G95EUD21697,2014
Mitsubishi,"37,350 Miles",Outlander,"$20,998",JA4JZ4AX1GZ009318,2016
Nissan,"19,429 Miles",Rogue,"$18,599",KNMAT2MV3GP611736,2016
Toyota,"23,578 Miles",Camry,"$17,998",4T1BF1FK0GU513284,2016
Volkswagen,"65,615 Miles",Golf GTI,"$16,998",3VW5T7AU8GM015308,2016
Nissan,"28,748 Miles",Altima,"$14,998",1N4AL3AP7FC498557,2015
Honda,"68,013 Miles",Accord,"$12,599",1HGCP2F65CA042423,2012
Nissan,"30,702 Miles",Rogue,"$19,599",KNMAT2MV5GP735930,2016
Volkswagen,"24,940 Miles",Passat,"$15,998",1VWAT7A31FC112162,2015
Ford,"39,007 Miles",Escape,"$15,998",1FMCU0EG6CKC84729,2012
GMC,"38,097 Miles",Acadia,"$28,998",1GKKVTKD7FJ352303,2015
Honda,"25,636 Miles",Accord,"$17,998",1HGCR2F56FA233421,2015
Nissan,"23,776 Miles",Pathfinder,"$28,998",5N1DR2MM2HC642130,2017
Acura,"29,235 Miles",TLX,"$20,998",19UUB2F54FA007452,2015
Toyota,"29,072 Miles",Highlander,"$31,998",5TDDKRFH4FS194499,2015
Acura,"36,914 Miles",TLX,"$18,998",19UUB1F39FA012056,2015
Chevrolet,"97,896 Miles",Equinox,"$13,998",2GNFLNEK3D6188123,2013
Cadillac,"17,677 Miles",ATS,"$25,998",1G6AL5SX2F0106934,2015
Ram,"54,246 Miles",Pickup 1500,"$25,998",1C6RR7LG0GS391946,2016
Infiniti,"49,394 Miles",QX60,"$24,998",5N1AL0MM5FC520268,2015
Lexus,"30,694 Miles",IS 250,"$25,998",JTHCF1D2XF5029142,2015
Toyota,"6,948 Miles",Prius,"$23,998",JTDKARFU3G3511070,2016
Nissan,"48,974 Miles",Armada,"$27,998",JN8AY2NC0H9508220,2017
Ford,"88,664 Miles",Explorer,"$18,998",1FM5K7F87DGB48452,2013
Toyota,"32,610 Miles",Camry,"$18,998",JTNB11HK1J3016642,2018
Honda,"52,988 Miles",Accord,"$14,998",1HGCR2F31FA218162,2015
MINI,"57,123 Miles",Countryman,"$13,599",WMWZB3C59DWM07650,2013
Kia,"125,642 Miles",Soul,"$8,599",KNDJT2A23A7172717,2010
Jeep,"18,175 Miles",Grand Cherokee,"$26,998",1C4RJFAG9HC751272,2017
Buick,"39,640 Miles",Regal,"$17,998",2G4GT5GX9G9112698,2016
Chevrolet,"97,913 Miles",Tahoe,"$36,998",1GNSKCKC9GR133736,2016
Chrysler,"41,997 Miles",300,"$21,998",2C3CCAGG4FH767534,2015
Ford,"20,627 Miles",Mustang,"$25,998",1FATP8FF9F5422806,2015
Nissan,"39,411 Miles",Rogue,"$15,998",KNMAT2MVXFP544969,2015
Kia,"28,239 Miles",Soul,"$14,599",KNDJP3A59F7165489,2015
Mercedes-Benz,"10,718 Miles",E-Class,"$43,998",WDDZF4KB2HA239928,2017
Toyota,"14,947 Miles",Prius c,"$15,998",JTDKDTB35F1584128,2015
Toyota,"28,327 Miles",RAV4,"$18,998",2T3RFREV2FW328250,2015
Acura,"11,774 Miles",TLX,"$20,998",19UUB1F30FA016772,2015
Hyundai,"32,648 Miles",Santa Fe Sport,"$19,998",5XYZUDLA2FG282801,2015
Nissan,"34,855 Miles",Sentra,"$11,998",3N1AB7AP6FY312103,2015
Jeep,"23,538 Miles",Grand Cherokee,"$22,998",1C4RJFAG7FC173461,2015
Ford,"41,966 Miles",Escape,"$15,998",1FMCU0GD3HUA53642,2017
Dodge,"25,386 Miles",Grand Caravan,"$19,599",2C4RDGCG8GR363160,2016
Buick,"5,122 Miles",Regal,"$23,998",2G4GS5GX4H9146830,2017
Ford,"19,027 Miles",Fusion,"$14,998",3FA6P0H7XGR222973,2016
Chrysler,"13,861 Miles",Town and Country,"$23,998",2C4RC1CG7FR754251,2015
Toyota,"50,581 Miles",Corolla,"$12,599",2T1BU4EE1DC015837,2013
Nissan,"27,484 Miles",Versa Note,"$9,998",3N1CE2CP0FL363920,2015
Subaru,"30,494 Miles",Impreza,"$19,998",JF1GPAP60G8214031,2016
Chevrolet,"10,462 Miles",Silverado 1500,"$30,998",1GCVKREC8JZ312779,2018
Hyundai,"33,541 Miles",Elantra,"$11,998",KMHDH4AE6DU854447,2013
Nissan,"86,761 Miles",Pathfinder,"$18,998",5N1AR2MN9DC675843,2013
Chevrolet,"23,472 Miles",Equinox,"$22,998",2GNFLGEK8G6155361,2016
Ford,"121,279 Miles",F-250 Super Duty,"$36,998",1FT7W2BT3EEA46299,2014
Toyota,"50,249 Miles",RAV4,"$18,599",JTMBFREV8GJ051508,2016
Kia,"18,769 Miles",Sportage,"$15,998",KNDPB3ACXG7796504,2016
Cadillac,"47,913 Miles",XTS,"$20,998",2G61P5S36D9127502,2013
Dodge,"31,455 Miles",Durango,"$30,998",1C4SDJCT4FC729859,2015
Kia,"36,208 Miles",Cadenza,"$17,998",KNALN4D79F5176924,2015
Jeep,"20,537 Miles",Renegade,"$22,998",ZACCJBCT7FPB39010,2015
Volvo,"10,133 Miles",V60 Cross Country,"$30,998",YV440MWK9J2053090,2018
BMW,"56,488 Miles",X3,"$15,998",WBXPC93429WJ28018,2009
Chrysler,"35,133 Miles",200,"$16,998",1C3CCCCG3FN501589,2015
Toyota,"25,539 Miles",Highlander,"$33,998",5TDDKRFH3FS222308,2015
Nissan,"28,130 Miles",Rogue,"$16,599",KNMAT2MV1FP592392,2015
GMC,"7,989 Miles",Acadia,"$33,998",1GKKVTKD1FJ338252,2015
Mitsubishi,"28,995 Miles",Outlander Sport,"$14,998",4A4AR3AW2FE050658,2015
Volkswagen,"31,059 Miles",Tiguan,"$14,998",WVGAV3AX6EW625358,2014
Toyota,"73,870 Miles",Corolla,"$9,599",2T1BU40E19C174260,2009
Lexus,"25,970 Miles",NX 200t,"$28,998",JTJBARBZ4G2066505,2016
Jeep,"11,916 Miles",Wrangler Unlimited,"$29,998",1C4HJWDG4JL930252,2018
Kia,"74,151 Miles",Sportage,"$12,599",KNDPB3A28C7325372,2012
Ford,"50,793 Miles",Explorer,"$19,998",1FM5K7D88EGA86323,2014
Dodge,"73,470 Miles",Journey,"$14,998",3C4PDDBG5FT640060,2015
Ford,"45,668 Miles",Mustang,"$17,599",1FA6P8TH9F5424297,2015
Ford,"40,176 Miles",Escape,"$14,998",1FMCU0G73GUB83929,2016
Infiniti,"73,370 Miles",G37,"$19,998",JN1CV6EL6DM981845,2013
Chevrolet,"29,972 Miles",Equinox,"$17,599",2GNALCEK9H1514976,2017
Honda,"34,442 Miles",CR-V,"$19,998",2HKRM4H7XDH654632,2013
Honda,"34,792 Miles",Accord,"$17,998",1HGCR2F78FA241683,2015
Ford,"68,558 Miles",Flex,"$21,400",2FMHK6D86FBA01656,2015
Ford,"49,030 Miles",Mustang,"$19,800",1FATP8UH9H5273370,2017
Toyota,"19,483 Miles",Sienna,"$28,900",5TDDK3DC2FS121121,2015
Chevrolet,"48,110 Miles",Malibu,"$14,000",1G11H5SA6DF334531,2013
Nissan,"52,701 Miles",Maxima,"$19,400",1N4AA6AP6HC419566,2017
Dodge,"48,712 Miles",Durango,"$25,800",1C4RDHDG8HC917506,2017
Tesla,"45,360 Miles",Model S,"$45,755",5YJSA1H14FF084522,2015
Nissan,"35,144 Miles",Maxima,"$22,755",1N4AA6APXJC361502,2018
Kia,"18,041 Miles",Optima,"$20,200",5XXGR4A60FG431430,2015
Infiniti,"48,275 Miles",QX60,"$25,235",5N1AL0MN1FC546892,2015
Chevrolet,"30,842 Miles",Corvette,"$19,855",1G1YY32G845102770,2004
Lincoln,"31,804 Miles",MKZ,"$23,999",3LN6L5ECXHR648678,2017
Lincoln,"14,251 Miles",MKZ,"$26,699",3LN6L5E98JR600090,2018
Chevrolet,"23,947 Miles",Cruze,"$15,000",3G1BE6SM2HS527208,2017
Dodge,"15,334 Miles",Challenger,"$20,100",2C3CDZAG9FH788772,2015
Ford,"52,046 Miles",Expedition EL,"$33,100",1FMJK2AT4HEA74812,2017
Mercedes-Benz,"36,924 Miles",GLC,"$32,500",WDC0G4KB4HF256274,2017
Toyota,"42,380 Miles",Corolla,"$14,305",5YFBURHE3HP712487,2017
Toyota,"36,071 Miles",Yaris iA,"$12,195",3MYDLBYV2HY176183,2017
Ford,"33,517 Miles",Focus,"$12,385",1FADP3F25HL249076,2017
Chevrolet,"48,910 Miles",Impala,"$19,500",1G1145S37HU201016,2017
